Step,Molecular_VBLL_Ered_dense_precision_multirank_rank_4_20250515_014006 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_rank_8_20250515_013937 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_rank_16_20250515_013912 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_rank_32_20250515_012919 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_Ensemble_20250513_082526 - best_value
0,1.81083962,2.51054477,1.80411875,1.92999221,2.17259657
1,1.81083962,2.37479408,1.80411875,1.86313724,2.10204104
2,1.81083962,1.71519647,1.71321014,1.86313724,2.10204104
3,1.81083962,1.71519647,1.67829971,1.63933499,1.92566582
4,1.81083962,1.54135178,1.67829971,1.63933499,1.92566582
5,1.69620389,1.54135178,1.67829971,1.63933499,1.92566582
6,1.69620389,1.54135178,1.67829971,1.63933499,1.92566582
7,1.69620389,1.54135178,1.67829971,1.63933499,1.69620389
8,1.69620389,1.54135178,1.67737457,1.63933499,1.69620389
9,1.69620389,1.54135178,1.67737457,1.63933499,1.69620389
10,1.69620389,1.54135178,1.67737457,1.63933499,1.54135178
11,1.63933499,1.54135178,1.67737457,1.63933499,1.54135178
12,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
13,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
14,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
15,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
16,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
17,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
18,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
19,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
20,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
21,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
22,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
23,1.63933499,1.54135178,1.67737457,1.62464159,1.54135178
24,,1.54135178,1.67737457,1.62464159,1.54135178
25,,1.54135178,1.67737457,1.62464159,1.54135178
26,,,1.67737457,1.62464159,1.54135178
27,,,1.67737457,1.62464159,1.54135178
28,,,1.67737457,1.62464159,1.54135178
29,,,1.67737457,1.62464159,1.54135178
30,,,1.67737457,1.62464159,1.54135178
31,,,,1.62464159,1.54135178
32,,,,1.62464159,1.54135178
33,,,,1.62464159,1.54135178
34,,,,1.62464159,1.54135178
35,,,,1.54135178,1.54135178
36,,,,1.54135178,1.54135178
37,,,,1.54135178,1.54135178
38,,,,1.54135178,1.54135178
39,,,,1.54135178,1.54135178
40,,,,1.54135178,1.54135178
41,,,,1.54135178,1.54135178
42,,,,1.54135178,1.54135178
43,,,,1.54135178,1.54135178
44,,,,1.54135178,1.54135178
45,,,,1.54135178,1.54135178
46,,,,1.54135178,1.54135178
47,,,,1.54135178,1.54135178
48,,,,1.54135178,1.54135178
49,,,,1.54135178,1.54135178
50,,,,1.54135178,1.54135178
51,,,,1.54135178,1.54135178
52,,,,1.54135178,1.54135178
53,,,,1.54135178,1.54135178
54,,,,1.54135178,1.54135178
55,,,,1.54135178,1.54135178
56,,,,1.54135178,1.54135178
57,,,,1.54135178,1.54135178
58,,,,1.54135178,1.54135178
59,,,,1.54135178,1.54135178
60,,,,1.54135178,1.54135178
61,,,,1.54135178,1.54135178
62,,,,1.54135178,1.54135178
63,,,,1.54135178,1.54135178
64,,,,1.54135178,1.54135178
65,,,,1.54135178,1.54135178
66,,,,1.54135178,1.54135178
67,,,,1.54135178,1.54135178
68,,,,1.54135178,1.54135178
69,,,,1.54135178,1.54135178
70,,,,1.54135178,1.54135178
71,,,,1.54135178,1.54135178
72,,,,1.54135178,1.54135178
73,,,,1.54135178,1.54135178
74,,,,1.54135178,1.54135178
75,,,,1.54135178,1.54135178
76,,,,1.54135178,1.54135178
77,,,,1.54135178,1.54135178
78,,,,1.54135178,1.54135178
79,,,,1.54135178,1.54135178
80,,,,1.54135178,1.54135178
81,,,,1.54135178,1.54135178
82,,,,1.54135178,1.54135178
83,,,,1.54135178,1.54135178
84,,,,1.54135178,1.54135178
85,,,,,1.54135178
86,,,,,1.54135178
87,,,,,1.54135178
88,,,,,1.54135178
89,,,,,1.54135178
90,,,,,1.54135178
91,,,,,1.54135178
92,,,,,1.54135178
93,,,,,1.54135178
94,,,,,1.54135178
95,,,,,1.54135178
96,,,,,1.54135178
97,,,,,1.54135178
98,,,,,1.54135178
99,,,,,1.54135178
100,,,,,1.54135178
101,,,,,1.54135178
102,,,,,1.54135178
103,,,,,1.54135178
104,,,,,1.54135178
105,,,,,1.54135178
106,,,,,1.54135178
107,,,,,1.54135178
108,,,,,1.54135178
109,,,,,1.54135178
110,,,,,1.54135178
111,,,,,1.54135178
112,,,,,1.54135178
113,,,,,1.54135178
114,,,,,1.54135178
115,,,,,1.54135178
116,,,,,1.54135178
117,,,,,1.54135178
118,,,,,1.54135178
119,,,,,1.54135178
120,,,,,1.54135178
121,,,,,1.54135178
122,,,,,1.54135178
123,,,,,1.54135178
124,,,,,1.54135178
125,,,,,1.54135178
126,,,,,1.54135178
127,,,,,1.54135178
128,,,,,1.54135178
129,,,,,1.54135178
130,,,,,1.54135178
131,,,,,1.54135178
132,,,,,1.54135178
133,,,,,1.54135178
134,,,,,1.54135178
135,,,,,1.54135178
136,,,,,1.54135178
137,,,,,1.54135178
138,,,,,1.54135178
139,,,,,1.54135178
140,,,,,1.54135178
141,,,,,1.54135178
142,,,,,1.54135178
143,,,,,1.54135178
144,,,,,1.54135178
145,,,,,1.54135178
146,,,,,1.54135178
147,,,,,1.54135178
148,,,,,1.54135178
149,,,,,1.54135178
150,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
,,,,,1.54135178
