Step,Molecular_BLOB_score_dense_precision_multirank_rank_32_20250515_014415 - best_value,Molecular_BLOB_score_dense_precision_multirank_rank_4_20250515_014238 - best_value,Molecular_BLOB_score_dense_precision_multirank_rank_8_20250510_145147 - best_value,Molecular_BLOB_score_dense_precision_multirank_rank_16_20250508_190040 - best_value,Molecular_BLOB_score_dense_precision_multirank_Ensemble_20250510_145147 - best_value
0,-8.5,-7,-8.2,-7.9,-8.2
1,-9.1,-7.7,-8.2,-8.3,-8.2
2,-9.1,-7.7,-8.2,-8.5,-8.2
3,-9.1,-8.6,-8.2,-8.9,-8.2
4,-9.1,-8.6,-9.6,-9,-9.6
5,-9.2,-8.6,-9.6,-9,-9.6
6,-9.2,-9,-9.6,-9.7,-9.6
7,-9.6,-9.3,-9.6,-9.7,-9.6
8,-9.6,-9.4,-9.6,-9.7,-9.6
9,-9.6,-9.4,-9.6,-9.7,-9.6
10,-9.6,-9.4,-9.6,-9.7,-9.6
11,,-9.4,-9.6,-9.7,-9.6
12,,-9.4,-9.6,-9.7,-9.6
13,,,-9.6,-9.7,-9.6
14,,,-9.6,-9.7,-9.6
15,,,-9.6,-9.7,-9.6
16,,,-9.6,-9.7,-9.6
17,,,-9.6,-9.7,-9.6
18,,,-9.6,-9.7,-9.6
19,,,-9.6,-9.7,-9.6
20,,,-9.6,-9.7,-9.6
21,,,-9.6,-9.7,-9.6
22,,,-9.6,-9.7,-9.6
23,,,-9.6,-9.7,-9.6
24,,,-9.6,-9.7,-9.6
25,,,-9.6,-9.7,-9.6
26,,,-9.6,-9.7,-9.6
27,,,-9.6,-9.7,-9.6
28,,,-9.6,-9.7,-9.6
29,,,-9.6,-9.7,-9.6
30,,,-9.6,-9.7,-9.6
31,,,-9.6,-9.7,-9.6
32,,,-9.6,-9.7,-9.6
33,,,-9.6,-9.7,-9.6
34,,,-9.6,-9.7,-9.6
35,,,-9.6,-9.7,-9.6
36,,,-9.6,-9.7,-9.6
37,,,-9.6,-9.7,-9.6
38,,,-9.6,-9.7,-9.6
39,,,-9.6,-9.7,-9.6
40,,,-9.6,-9.7,-9.6
41,,,-9.6,-9.7,-9.6
42,,,-9.6,-9.7,-9.6
