Step,Molecular_BLOB_Ered_dense_precision_multirank_20250507_014507 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250513_082526 - best_value,Ered_mlp_20250509_121337 - best_value,Ered_mlp_20250509_120819 - best_value,Ered_mlp_20250509_121337 - best_value,No_Fine_tuning_20250515_003414 - best_value,No_Fine_tuning_20250515_002416 - best_value,No_Pretrain_20250515_002912 - best_value
0,1.86569498,1.77609245,1.63933499,2.17259657,1.70814908,1.70814908,1.70814908,3.00628376,2.41498325,2.26407659
1,1.86569498,1.77609245,1.63933499,2.10204104,1.66627289,1.66627289,1.66627289,2.5117148,2.41498325,2.2243772
2,1.83562793,1.77609245,1.63933499,2.10204104,1.66627289,1.66627289,1.66627289,1.71519647,2.41498325,2.01652001
3,1.83562793,1.77609245,1.63933499,1.92566582,1.61558066,1.61558066,1.61558066,1.71519647,2.41498325,2.01652001
4,1.64455931,1.77609245,1.63933499,1.92566582,1.61558066,1.61558066,1.61558066,1.71519647,2.28663368,2.01652001
5,1.64455931,1.76376632,1.63933499,1.92566582,1.61558066,1.61558066,1.61558066,1.71519647,2.09110262,2.01652001
6,1.64455931,1.76376632,1.63933499,1.92566582,1.61558066,1.61558066,1.61558066,1.71519647,2.09110262,1.84458002
7,1.64455931,1.7316041,1.63933499,1.69620389,1.61558066,1.61558066,1.61558066,1.71519647,2.07232772,1.84458002
8,1.64455931,1.6807214,1.63933499,1.69620389,1.61558066,1.61558066,1.61558066,1.71519647,2.07232772,1.84458002
9,1.64039618,1.6807214,1.63933499,1.69620389,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.84458002
10,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.84458002
11,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.84458002
12,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.84458002
13,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
14,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
15,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
16,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
17,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
18,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,2.07232772,1.75130414
19,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
20,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
21,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
22,1.64039618,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
23,1.63933499,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
24,1.63933499,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,1.6706537,1.91048264,1.75130414
25,1.63933499,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
26,1.63933499,1.62464159,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
27,1.63933499,1.54135178,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
28,1.63933499,1.54135178,1.63933499,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
29,1.63933499,1.54135178,1.62464159,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
30,1.63933499,1.54135178,1.62464159,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.75130414
31,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.750379
32,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
33,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
34,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
35,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
36,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
37,1.63933499,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
38,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
39,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
40,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
41,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
42,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
43,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
44,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
45,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.91048264,1.68972791
46,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.70787698,1.68972791
47,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.70787698,1.68972791
48,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.70787698,1.68972791
49,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
50,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
51,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
52,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
53,1.61558066,1.54135178,1.54135178,1.54135178,1.61558066,1.61558066,1.61558066,,1.54135178,1.68972791
