Step,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_021411 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250510_231726 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250507_014507 - best_value
0,2.04269603,1.7316041,2.34472703,1.63933499,1.77609245,1.86569498
1,2.04269603,1.7316041,2.34472703,1.63933499,1.77609245,1.86569498
2,1.95393701,1.7316041,2.34472703,1.63933499,1.77609245,1.83562793
3,1.95393701,1.7316041,2.34472703,1.63933499,1.77609245,1.83562793
4,1.95393701,1.7316041,1.73761751,1.63933499,1.77609245,1.64455931
5,1.64039618,1.7316041,1.73761751,1.63933499,1.76376632,1.64455931
6,1.64039618,1.7316041,1.73761751,1.63933499,1.76376632,1.64455931
7,1.64039618,1.7316041,1.73761751,1.63933499,1.7316041,1.64455931
8,1.64039618,1.7316041,1.73761751,1.63933499,1.6807214,1.64455931
9,1.64039618,1.7316041,1.73761751,1.63933499,1.6807214,1.64039618
10,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
11,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
12,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
13,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
14,1.64039618,1.7316041,1.73761751,1.63933499,1.62464159,1.64039618
15,1.64039618,1.67829971,1.73761751,1.63933499,1.62464159,1.64039618
16,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
17,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
18,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
19,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
20,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
21,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
22,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.64039618
23,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
24,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
25,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
26,1.64039618,1.67829971,1.73397137,1.63933499,1.62464159,1.63933499
27,1.64039618,1.62464159,1.73397137,1.63933499,1.54135178,1.63933499
28,1.64039618,1.62464159,1.73397137,1.63933499,1.54135178,1.63933499
29,1.64039618,1.62464159,1.73397137,1.62464159,1.54135178,1.63933499
30,1.64039618,1.62464159,1.73397137,1.62464159,1.54135178,1.63933499
31,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
32,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
33,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
34,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
35,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
36,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
37,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.63933499
38,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
39,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
40,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
41,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
42,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
43,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
44,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
45,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
46,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
47,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
48,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
49,1.64039618,1.62464159,1.73397137,1.54135178,1.54135178,1.61558066
